Region_no,Region_name
1,lh_bankssts_part1
2,lh_bankssts_part2
3,lh_caudalanteriorcingulate_part1
4,lh_caudalmiddlefrontal_part1
5,lh_caudalmiddlefrontal_part2
6,lh_caudalmiddlefrontal_part3
7,lh_caudalmiddlefrontal_part4
8,lh_cuneus_part1
9,lh_cuneus_part2
10,lh_entorhinal_part1
11,lh_fusiform_part1
13,lh_fusiform_part3
14,lh_fusiform_part4
15,lh_fusiform_part5
16,lh_inferiorparietal_part1
17,lh_inferiorparietal_part2
18,lh_inferiorparietal_part3
19,lh_inferiorparietal_part4
20,lh_inferiorparietal_part5
21,lh_inferiorparietal_part6
22,lh_inferiorparietal_part7
23,lh_inferiorparietal_part8
25,lh_inferiortemporal_part2
27,lh_inferiortemporal_part4
28,lh_inferiortemporal_part5
29,lh_inferiortemporal_part6
30,lh_isthmuscingulate_part1
31,lh_isthmuscingulate_part2
32,lh_lateraloccipital_part1
33,lh_lateraloccipital_part2
34,lh_lateraloccipital_part3
35,lh_lateraloccipital_part4
37,lh_lateraloccipital_part6
38,lh_lateraloccipital_part7
39,lh_lateraloccipital_part8
40,lh_lateraloccipital_part9
41,lh_lateralorbitofrontal_part1
43,lh_lateralorbitofrontal_part3
44,lh_lateralorbitofrontal_part4
45,lh_lingual_part1
46,lh_lingual_part2
47,lh_lingual_part3
48,lh_lingual_part4
49,lh_lingual_part5
50,lh_lingual_part6
51,lh_medialorbitofrontal_part1
54,lh_middletemporal_part1
55,lh_middletemporal_part2
56,lh_middletemporal_part3
57,lh_middletemporal_part4
58,lh_middletemporal_part5
59,lh_parahippocampal_part1
60,lh_parahippocampal_part2
61,lh_paracentral_part1
62,lh_paracentral_part2
63,lh_paracentral_part3
64,lh_parsopercularis_part1
65,lh_parsopercularis_part2
66,lh_parsopercularis_part3
67,lh_parsorbitalis_part1
68,lh_parstriangularis_part1
69,lh_parstriangularis_part2
70,lh_pericalcarine_part1
71,lh_pericalcarine_part2
72,lh_postcentral_part1
73,lh_postcentral_part2
74,lh_postcentral_part3
75,lh_postcentral_part4
76,lh_postcentral_part5
77,lh_postcentral_part6
78,lh_postcentral_part7
79,lh_postcentral_part8
80,lh_posteriorcingulate_part1
81,lh_posteriorcingulate_part2
82,lh_precentral_part1
83,lh_precentral_part2
84,lh_precentral_part3
85,lh_precentral_part4
86,lh_precentral_part5
87,lh_precentral_part6
88,lh_precentral_part7
89,lh_precentral_part8
90,lh_precentral_part9
91,lh_precuneus_part1
92,lh_precuneus_part2
93,lh_precuneus_part3
94,lh_precuneus_part4
95,lh_precuneus_part5
96,lh_precuneus_part6
97,lh_precuneus_part7
98,lh_rostralanteriorcingulate_part1
99,lh_rostralmiddlefrontal_part1
100,lh_rostralmiddlefrontal_part2
101,lh_rostralmiddlefrontal_part3
102,lh_rostralmiddlefrontal_part4
103,lh_rostralmiddlefrontal_part5
104,lh_rostralmiddlefrontal_part6
105,lh_rostralmiddlefrontal_part7
106,lh_rostralmiddlefrontal_part8
107,lh_rostralmiddlefrontal_part9
108,lh_rostralmiddlefrontal_part10
109,lh_superiorfrontal_part1
110,lh_superiorfrontal_part2
111,lh_superiorfrontal_part3
112,lh_superiorfrontal_part4
113,lh_superiorfrontal_part5
114,lh_superiorfrontal_part6
115,lh_superiorfrontal_part7
116,lh_superiorfrontal_part8
117,lh_superiorfrontal_part9
118,lh_superiorfrontal_part10
119,lh_superiorfrontal_part11
120,lh_superiorfrontal_part12
121,lh_superiorfrontal_part13
122,lh_superiorparietal_part1
123,lh_superiorparietal_part2
124,lh_superiorparietal_part3
125,lh_superiorparietal_part4
126,lh_superiorparietal_part5
127,lh_superiorparietal_part6
128,lh_superiorparietal_part7
129,lh_superiorparietal_part8
130,lh_superiorparietal_part9
131,lh_superiorparietal_part10
132,lh_superiortemporal_part1
133,lh_superiortemporal_part2
134,lh_superiortemporal_part3
135,lh_superiortemporal_part4
136,lh_superiortemporal_part5
137,lh_superiortemporal_part6
138,lh_superiortemporal_part7
139,lh_supramarginal_part1
140,lh_supramarginal_part2
141,lh_supramarginal_part3
142,lh_supramarginal_part4
143,lh_supramarginal_part5
144,lh_supramarginal_part6
145,lh_supramarginal_part7
148,lh_transversetemporal_part1
149,lh_insula_part1
150,lh_insula_part2
151,lh_insula_part3
152,lh_insula_part4
153,rh_bankssts_part1
154,rh_bankssts_part2
155,rh_caudalanteriorcingulate_part1
156,rh_caudalmiddlefrontal_part1
157,rh_caudalmiddlefrontal_part2
158,rh_caudalmiddlefrontal_part3
159,rh_caudalmiddlefrontal_part4
160,rh_cuneus_part1
161,rh_cuneus_part2
162,rh_cuneus_part3
163,rh_entorhinal_part1
164,rh_fusiform_part1
166,rh_fusiform_part3
167,rh_fusiform_part4
168,rh_fusiform_part5
169,rh_inferiorparietal_part1
170,rh_inferiorparietal_part2
171,rh_inferiorparietal_part3
172,rh_inferiorparietal_part4
173,rh_inferiorparietal_part5
174,rh_inferiorparietal_part6
175,rh_inferiorparietal_part7
176,rh_inferiorparietal_part8
177,rh_inferiorparietal_part9
178,rh_inferiorparietal_part10
180,rh_inferiortemporal_part2
181,rh_inferiortemporal_part3
182,rh_inferiortemporal_part4
183,rh_inferiortemporal_part5
184,rh_isthmuscingulate_part1
185,rh_isthmuscingulate_part2
186,rh_lateraloccipital_part1
187,rh_lateraloccipital_part2
188,rh_lateraloccipital_part3
189,rh_lateraloccipital_part4
190,rh_lateraloccipital_part5
191,rh_lateraloccipital_part6
192,rh_lateraloccipital_part7
193,rh_lateraloccipital_part8
194,rh_lateraloccipital_part9
196,rh_lateralorbitofrontal_part2
197,rh_lateralorbitofrontal_part3
198,rh_lateralorbitofrontal_part4
199,rh_lingual_part1
200,rh_lingual_part2
201,rh_lingual_part3
202,rh_lingual_part4
203,rh_lingual_part5
204,rh_lingual_part6
206,rh_medialorbitofrontal_part2
207,rh_medialorbitofrontal_part3
208,rh_middletemporal_part1
210,rh_middletemporal_part3
211,rh_middletemporal_part4
212,rh_middletemporal_part5
213,rh_middletemporal_part6
214,rh_parahippocampal_part1
215,rh_parahippocampal_part2
216,rh_paracentral_part1
217,rh_paracentral_part2
218,rh_paracentral_part3
219,rh_parsopercularis_part1
220,rh_parsopercularis_part2
221,rh_parsopercularis_part3
222,rh_parsorbitalis_part1
223,rh_parstriangularis_part1
224,rh_parstriangularis_part2
225,rh_parstriangularis_part3
226,rh_pericalcarine_part1
227,rh_pericalcarine_part2
228,rh_pericalcarine_part3
229,rh_postcentral_part1
230,rh_postcentral_part2
231,rh_postcentral_part3
232,rh_postcentral_part4
233,rh_postcentral_part5
234,rh_postcentral_part6
235,rh_postcentral_part7
236,rh_postcentral_part8
237,rh_posteriorcingulate_part1
238,rh_posteriorcingulate_part2
239,rh_precentral_part1
240,rh_precentral_part2
241,rh_precentral_part3
242,rh_precentral_part4
243,rh_precentral_part5
244,rh_precentral_part6
245,rh_precentral_part7
246,rh_precentral_part8
247,rh_precentral_part9
248,rh_precuneus_part1
249,rh_precuneus_part2
250,rh_precuneus_part3
251,rh_precuneus_part4
252,rh_precuneus_part5
253,rh_precuneus_part6
254,rh_precuneus_part7
255,rh_rostralanteriorcingulate_part1
256,rh_rostralmiddlefrontal_part1
257,rh_rostralmiddlefrontal_part2
258,rh_rostralmiddlefrontal_part3
259,rh_rostralmiddlefrontal_part4
260,rh_rostralmiddlefrontal_part5
261,rh_rostralmiddlefrontal_part6
262,rh_rostralmiddlefrontal_part7
263,rh_rostralmiddlefrontal_part8
264,rh_rostralmiddlefrontal_part9
265,rh_rostralmiddlefrontal_part10
266,rh_superiorfrontal_part1
267,rh_superiorfrontal_part2
268,rh_superiorfrontal_part3
269,rh_superiorfrontal_part4
270,rh_superiorfrontal_part5
271,rh_superiorfrontal_part6
272,rh_superiorfrontal_part7
273,rh_superiorfrontal_part8
274,rh_superiorfrontal_part9
275,rh_superiorfrontal_part10
276,rh_superiorfrontal_part11
277,rh_superiorfrontal_part12
278,rh_superiorfrontal_part13
279,rh_superiorparietal_part1
280,rh_superiorparietal_part2
281,rh_superiorparietal_part3
282,rh_superiorparietal_part4
283,rh_superiorparietal_part5
284,rh_superiorparietal_part6
285,rh_superiorparietal_part7
286,rh_superiorparietal_part8
287,rh_superiorparietal_part9
288,rh_superiorparietal_part10
289,rh_superiortemporal_part1
290,rh_superiortemporal_part2
291,rh_superiortemporal_part3
292,rh_superiortemporal_part4
293,rh_superiortemporal_part5
294,rh_superiortemporal_part6
295,rh_supramarginal_part1
296,rh_supramarginal_part2
297,rh_supramarginal_part3
298,rh_supramarginal_part4
299,rh_supramarginal_part5
300,rh_supramarginal_part6
301,rh_supramarginal_part7
303,rh_temporalpole_part1
304,rh_transversetemporal_part1
305,rh_insula_part1
306,rh_insula_part2
307,rh_insula_part3
308,rh_insula_part4
